绝世高手,喜剧 动作 爱情 ,2017年,英文名：The One,未知,5.8,"
									《绝世高手》是由卢正雨执导，卢正雨、郭采洁、范伟等主演的喜剧电影，该片于2017年7月7日在中国大陆上映。
影片主要是讲述了混混卢小鱼，在一次执行破坏任务的过程中遇到了大大咧咧的吃货小曼，小鱼顺势利用小曼去完成他的“大任务”，由此卷入了美食江湖，见识了光怪陆离的烹饪绝技，也被各位厨师高手的真诚感化，走上正义之路。								",http://posters.imdb.cn/upload/2017/07/15/LJ4UtheNV_1500089084.jpg
深夜食堂2,剧情 ,2017年,英文名：Midnight Diner 2,Joji Matsuoka,7.2,"
									《深夜食堂2》是松冈锭司执导、小林薰主演的日本美食情感片，于2016年11月5日日本上映 ，2017年7月18日中国上映。
该片改编自安倍夜郎的漫画，以坐落在小胡同里的深夜食堂为舞台，讲述了各路食客在食堂里得到心灵慰藉的故事，深夜食堂坐落在小胡同里，老板（小林薰饰）神情柔和地站在食堂门口，仿佛在迎接着脾胃和心灵都需要慰藉的食客们。一个个身穿丧服的常客依次登场，在这些人中包括范子（河井青叶饰）。她穿丧服只出于兴趣，这样能帮她减少压力，不过，在真正的守灵夜上她被一位与丧服很相称的中年男性深深吸引住了。另一方面，食堂附近的荞麦面店的儿子清太（池松壮亮饰）面对过分依赖自己的母亲圣子，无法说出他将与比他年纪大的恋人结婚的事。而应经济困难的儿子的请求从九州赶来的夕起子（渡边美佐子饰），把一大笔钱交给自称是儿子同事的男人。食堂的常客们担心她被骗了，夕起子的小叔子向大家讲起关于她的事。								",http://posters.imdb.cn/upload/2017/07/15/oeMQ6NpTy_1500088654.jpg
绣春刀·修罗战场,动作 神秘 ,2017年,英文名：Brotherhood of Blades 2,未知,0.0 ,"
									《绣春刀·修罗战场》是由路阳执导，宁浩监制，陈舒、路阳、禹扬编剧，张震、杨幂、张译、雷佳音、李媛、辛芷蕾等人主演的动作武侠电影 。
该片讲述了明天启七年，北镇抚司锦衣卫沈炼（张震饰）在追查案件中身陷阴谋，为了证明清白，沈炼与少女北斋（杨幂饰），同僚裴纶协力查明真相[8]  。影片将依旧着眼于蝼蚁般的众生在明末乱世的逆命之争，沈炼除了面临新的求生难题，爱情、兄弟情义的羁绊或将是他更具危机的修罗场 。
该片于2017年7月19日全国上映								",http://posters.imdb.cn/upload/2017/07/15/QGDNt4HvW_1500088174.jpg
麦克白夫人,剧情 ,2017年,英文名：Lady Macbeth ,未知,7.3,"
									《麦克白夫人》是威廉奥尔·德罗伊德执导的电影，由佛罗伦斯·珀、克里斯托弗·费尔班克主演。麦克白夫人被困在与一个比她年长的男人的包办婚姻中。在乡间庄园里，她以一种嗜血的方式寻求解脱和青春激情的发泄 。								",http://posters.imdb.cn/upload/2017/07/15/fOmXt3CfR_1500087702.jpg
大护法,动画 ,2017年,英文名：Da Hu Fa,未知,0.0 ,"
									《大护法》是北京光线影业有限公司、天津市好传文化传播有限公司等出品，好传动画出品、虫左道右工作室监制的原创动画电影，由不思凡执导，小连杀、图特哈蒙、金士杰、幽舞越山等参与配音。该片讲述了“花生镇”是奕卫国国度里一个依山傍水、鲜有问津的边陲小镇。风景美好，却暗藏危机，因小镇空中漂浮的黑色巨型花生而得名。奕卫国大护法为寻找失踪已久的太子，来到这个陌生小镇。这里的居民外形酷似花生，面部只有一双眼睛、一只嘴巴，并用画出的“假眼假嘴”粘贴着，神情呆滞。他们并不知晓自己从何而来，只是机械、顺从地生活着。他们反对一切外来事物，麻木而愚昧。当这些居民身上长出鬼蘑菇时便会被守卫枪决。在躲避守卫追杀的过程中，大护法偶遇太子，并一同卷入了一场关于欲望的冒险故事。该片于2017年7月13日在中国大陆上映。
								",http://posters.imdb.cn/upload/2017/07/15/lQQCX5aS7_1500087154.jpg
苏州少年横漂记,剧情 ,2017年,英文名：Suzhou Youth Drift in Hengdian,未知,0.0 ,"
									该电影是由黄梓乘、黄海冰、袁苑、范雨彤、孟潞主演、陈剑导演兼编剧的一部“横漂”题材院线电影 ，于2017年7月12日全国上映。
电影主要讲述的是一次家庭危机爆发后，苏展带着“外星熊猫”来到横店，梦想成为功夫巨星。但娇生惯养的他并不适应“横漂”生活，最终母亲决定让儿子报考横店影视职业学院表演艺术班，并答应了儿子的要求，与前夫复婚。迷途少年重返校园，离异家庭破镜重圆。剧情讲述不谙世事男主角苏展（黄梓乘饰演）因不想学习跑到横店当群众演员，成为了一头撞进横店的年轻人。期间恋上了一位女横漂。某天，苏展在横店明清宫一明朝剧组里当群众演员，穿了一身锦衣卫戏服，而他喜欢的那位女横漂正好在隔壁清朝剧组里当群众演员，休息期间被另一个民国剧组的身穿日本兵戏服的群众演员骚扰，于是苏展为爱大打出手，上演了一出跨度600年的锦衣卫爆打日本兵英雄救美的故事，如此桥段华语电影绝无仅有。
该片在横店就地取材，全龙套演出，胜在想法。本片在选题上打破了传统电影题材的布局范围，从各个角度做出了大胆创新，首次将青少年教育、爱情、喜剧、动作、科幻等元素合为一体，情节跌宕起伏，剧情饱满，霸气十足。外星飞碟、机器熊猫、功夫少年、横漂生活等将是该片的特色卖点。								",http://posters.imdb.cn/upload/2017/07/15/DxtaG1iLi_1500086792.jpg
猩球崛起3：终极之战,剧情 动作 冒险 ,2017年,英文名：War for the Planet of the Apes,马特·里维斯 Matt Reeves,8.3,"
									《猩球崛起3：终极之战》是一部美国科幻片，由马特·里夫斯执导，安迪·瑟金斯等主演。影片将于2017年7月14日在美国上映。
该影片中猿族将面临前所未有的重创，由此激发了凯撒内心中黑暗的一面，心中燃起复仇的烈火。
人类与猿族之间已经毫无和解余地，一场生死之战一触即发。历经科巴的反叛和人类的猛烈进攻，一心保护同胞的凯撒已经变成了一位冷酷无情的领袖，他策划一次针对人类军队指挥官——上校的刺杀行动，面对人类他也不再心慈手软。然而刺杀行动中凯撒一行偶遇一个小女孩，这个小女孩却重新唤起了了凯撒心中的善良之火								",http://posters.imdb.cn/upload/2017/07/14/zDlSwwlmY_1500004493.jpg
喵星人,喜剧 科幻 ,2017年,英文名：Meow,陈木胜 Benny Chan,0.0 ,"
									《喵星人》是由陈木胜执导的科幻喜剧电影，古天乐、马丽、刘楚恬、黄星羱等主演。该片由引力影视投资有限公司、浙江柚子影视有限公司联合出品，定于2017年7月14日全国公映.
千百年来，地球上一直住着一种外星生物，名叫喵星人。它们从遥远的喵星来到地球，化身为猫科动物，分散在世界每个角落。萌萌的外表，加上机智聪明的头脑，轻易就得到人类的宠爱。不愁吃喝的它们桀骜不驯，活像饱经沧桑的江湖大佬。犀犀利就是他们中的一员，作为一名正牌的喵星来客，它肩负使命长途跋涉来到地球，却意外遇到了吴守龙（古天乐饰演）一家，上演了一幕相运相生，喵趣横生的人猫奇遇记。								",http://posters.imdb.cn/upload/2017/07/14/zLJBvw6of_1500003332.jpg
悟空传,剧情 动作 奇幻 ,2017年,英文名：Wu Kong,郭子健 Chi-kin Kwok,0.0 ,"
									《悟空传》是新丽电影、磨铁娱乐和上海三次元影业[1]  联合出品的奇幻电影，由郭子健执导，彭于晏、倪妮、欧豪、余文乐、郑爽、乔杉  、杨迪联袂主演  ，俞飞鸿特别出演。
该片改编自今何在同名小说，讲述了这不是西游记的任何章节，这是悟空的故事，彼时孙悟空还不是震撼 天地的齐天大圣，他只是只桀傲不驯的猴子。天庭毁掉他的花果山以掌控众生命运，他便决心跟天庭对抗，毁掉一切戒律。在天庭，孙悟空遇到不能爱的阿紫，一生的宿敌杨戬，和思念昔日爱人阿月的天蓬，他们的身份注定永生相杀，但其实不甘命运摆布的又何止孙悟空一人，却没想到反抗却带来更大的浩劫。他们所做的一切，究竟是不知天高地厚的热血轻狂，还是无奈宿命难改的压抑绝望，难道命运真的早已注定，悟空不服，他再次挥动金箍棒，要让这诸佛都烟消云散。。影片于2017年7月13日在中国内地上映。								",http://posters.imdb.cn/upload/2017/07/10/BCBc54ymM_1499676840.jpg
青禾男高,喜剧 动作 ,2017年,英文名：Fist & Faith,未知,0.0 ,"
									《青禾男高》是由黑蚂蚁影业、阿里巴巴影业、和和影业、麦特影视文化传媒、联瑞影视制作、春秋永乐文化联合出品的青春动作电影，该片由钮承泽监制，蒋卓原执导，景甜、欧豪领衔主演，周游、丁冠森、张宁江、夏恩等联袂主演。影片于2017年7月13日在中国内地上映。电影讲述了在一所名为青禾男高的学校里，一帮在特殊校园环境下结成的挚友兄弟共同对抗校园霸凌的热血故事。
由钮承泽监制、蒋卓原导演的青春动作电影《青禾男高》打破以往青春片路线，开启内地“暴力青春”的后青春片时代。本片以特殊的时期作为背景，校园帮派、热血对战为故事核心，塑造了一群热血少年，为了捍卫友情、爱情和尊严而奋起反抗霸凌的故事。影片将于2017年7月13日全国上映。
在一所名为青禾男高的学校里，荆浩和阿屁、谭嘉木、幺鸡、二饼四位少年在特别的校园环境中结成了生死与共的挚友兄弟，并成为这所男高里唯一对抗校园霸凌的团体，压制了柴田等人横行霸道的校园恶行。在特殊的时代氛围里，两方势力保持着微妙的平衡，直到女教师柳禾的出现，平衡被打破，这所男高里的少年们将何去何从，就此展开的激战如箭在弦。								",http://posters.imdb.cn/upload/2017/07/10/V72qg2003_1499671889.jpg
